title,price
"Pixel 6a 5G (Charcoal, 6GB RAM, 128GB Stoarge)","30,990"
"Pixel 3a(Clearly White, 64 GB) (4 GB RAM)","13,999"
"Pixel 3A (Just Black,4GB RAM 64GB Storage)","13,998"
"Pixel 7 Pro 5G (Hazel, 12GB Ram, 128GB Storage)","62,999"
"Pixel 6a 5G (Sage, 6GB RAM, 128GB Stoarge)","63,990"
"Pixel 8 5G (Obsidian, 8GB RAM, 128GB Storage)","24,900"
"Pixel 4 XL Just Black (6GB RAM, 64GB Storage) Smartphone","99,999"
"Pixel 7a 5G (Charcoal, 8GB RAM, 128GB Storage)",499
"Pixel 8 Pro 5G (12GB RAM) (256, Bay Blue, New)","15,999"
"Pixel 7 Pro 5G (Snow, 12GB RAM, 512GB Stoarge)","27,990"
7SEVENÂ® Suitable for Xiaomi mi 12 pro 5g tempered glass screen protector guard with edge-to-edge full glue mobile screen Protector from anti scratch,"99,999"
"EXONY Pixel 3a XL (Just Black, 64 GB) (4 GB RAM)","21,990"
G00GLE Pixel 6A 5G 6GB 128GB Charcoal,"38,490"
"Pixel 8 Pro 5G (12GB RAM) (256, Obsidian Black, New)","38,490"
